id,name,description,foundationId
1,Gender Nonconforming,"Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum.",7
2,Female to Male,In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus.,10
3,Transmasculine,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin risus. Praesent lectus.",10
4,Non-binary,"Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl.",6
5,Cis,Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy. Integer non velit.,1
6,Transsexual Person,"Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros.",8
7,Transmasculine,Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus.,3
8,Transsexual Man,Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus.,10
9,Cis Male,"Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus.",6
10,FTM,"Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem.",5
11,Androgyne,Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus.,4
12,Trans,In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus.,3
13,Cisgender Female,Fusce consequat. Nulla nisl. Nunc nisl.,4
14,Trans Man,"Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem.",8
15,Transgender Female,"Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh.",1
16,Agender,Sed ante. Vivamus tortor. Duis mattis egestas metus.,2
17,Transgender Female,"Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui.",9
18,Trans,"Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem.",7
19,Cis Woman,"Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl.",5
20,Transgender Man,"Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.",8
